0	0	-1	air
1	0	-1	stone
1	1	-1	stone
1	2	-1	stone
1	3	-1	stone
1	4	-1	stone
1	5	-1	stone
1	6	-1	stone
2	0	-1	grass
3	0	-1	dirt
3	1	-1	dirt
3	2	-1	dirt
4	0	-1	cobblestone
5	0	-1	planks
5	1	-1	planks
5	2	-1	planks
5	3	-1	planks
5	4	-1	planks
5	5	-1	planks
6	0	-1	sapling
6	1	-1	sapling
6	2	-1	sapling
6	3	-1	sapling
6	4	-1	sapling
6	5	-1	sapling
7	0	-1	bedrock
8	0	-1	flowing_water
9	0	-1	water
10	0	-1	flowing_lava
11	0	-1	lava
12	0	-1	sand
12	1	-1	sand
13	0	-1	gravel
14	0	-1	gold_ore
15	0	-1	iron_ore
16	0	-1	coal_ore
17	0	-1	log
17	1	-1	log
17	2	-1	log
17	3	-1	log
18	0	-1	leaves
18	1	-1	leaves
18	2	-1	leaves
18	3	-1	leaves
19	0	-1	sponge
19	1	-1	sponge
20	0	-1	glass
21	0	-1	lapis_ore
22	0	-1	lapis_block
23	0	-1	dispenser
24	0	-1	sandstone
24	1	-1	sandstone
24	2	-1	sandstone
25	0	-1	noteblock
26	0	-1	bed
27	0	-1	golden_rail
28	0	-1	detector_rail
29	0	-1	sticky_piston
30	0	-1	web
31	0	-1	tallgrass
31	1	-1	tallgrass
31	2	-1	tallgrass
32	0	-1	deadbush
33	0	-1	piston
34	0	-1	piston_head
35	0	-1	wool
35	1	-1	wool
35	2	-1	wool
35	3	-1	wool
35	4	-1	wool
35	5	-1	wool
35	6	-1	wool
35	7	-1	wool
35	8	-1	wool
35	9	-1	wool
35	10	-1	wool
35	11	-1	wool
35	12	-1	wool
35	13	-1	wool
35	14	-1	wool
35	15	-1	wool
37	0	-1	yellow_flower
38	0	-1	red_flower
38	1	-1	red_flower
38	2	-1	red_flower
38	3	-1	red_flower
38	4	-1	red_flower
38	5	-1	red_flower
38	6	-1	red_flower
38	7	-1	red_flower
38	8	-1	red_flower
39	0	-1	brown_mushroom
40	0	-1	red_mushroom
41	0	-1	gold_block
42	0	-1	iron_block
43	0	-1	double_stone_slab
43	1	-1	double_stone_slab
43	2	-1	double_stone_slab
43	3	-1	double_stone_slab
43	4	-1	double_stone_slab
43	5	-1	double_stone_slab
43	6	-1	double_stone_slab
43	7	-1	double_stone_slab
44	0	-1	stone_slab
44	1	-1	stone_slab
44	2	-1	stone_slab
44	3	-1	stone_slab
44	4	-1	stone_slab
44	5	-1	stone_slab
44	6	-1	stone_slab
44	7	-1	stone_slab
45	0	-1	brick_block
46	0	-1	tnt
47	0	-1	bookshelf
48	0	-1	mossy_cobblestone
49	0	-1	obsidian
50	0	-1	torch
51	0	-1	fire
52	0	-1	mob_spawner
53	0	-1	oak_stairs
54	0	-1	chest
55	0	-1	redstone_wire
56	0	-1	diamond_ore
57	0	-1	diamond_block
58	0	-1	crafting_table
59	0	-1	wheat
60	0	-1	farmland
61	0	-1	furnace
